District,Crime,Timestamp,Latitude,Longitude
CENTRAL,356/379/411 IPC 1860,03-02-2019 22:20,28.64500046,77.24500275
CENTRAL,323/341/506 IPC 1860,04-02-2019 03:00,28.64376,77.23136
CENTRAL,283/290 IPC 1860,03-02-2019 21:00,28.69056,77.04182
CENTRAL,93/97 DELHI POLICE ACT 1978,03-02-2019 22:00,28.64500046,77.24500275
CENTRAL,93/97 DELHI POLICE ACT 1978,03-02-2019 22:00,28.64322,77.21753
DWARKA,"40(b) DELHI EXCISE ACT, 2009",03-02-2019 20:38,28.58995056,77.04006958
DWARKA,93/97 DELHI POLICE ACT 1978,03-02-2019 23:00,28.59022,77.07033
DWARKA,"40(b) DELHI EXCISE ACT, 2009",03-02-2019 20:24,28.58995056,77.04006958
DWARKA,"40(b) DELHI EXCISE ACT, 2009",03-02-2019 20:38,28.62538,76.96695
DWARKA,"40(b) DELHI EXCISE ACT, 2009",03-02-2019 20:24,28.58995056,77.04006958
EAST,"33 DELHI EXCISE ACT, 2010",03-02-2019 21:51,28.63999939,77.29000092
EAST,308 IPC 1860,04-02-2019 02:23,28.5936,77.32515
EAST,"33 DELHI EXCISE ACT, 2010",04-02-2019 00:15,28.60592,77.29947
EAST,"363/354/343/34 IPC 1860 8 THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCE ACT, 2012",03-02-2019 18:00,28.63999939,77.29000092
EAST,"33 DELHI EXCISE ACT, 2009",04-02-2019 01:00,28.61642,77.31696
EAST,398/34 IPC 1860,04-02-2019 07:19,28.61886,77.3155
EAST,279/337 IPC 1860,03-02-2019 17:40,28.63253,77.29885
EAST,188 IPC 1860,03-02-2019 23:36,28.63999939,77.29000092
EAST,"33 DELHI EXCISE ACT, 2009",04-02-2019 01:00,28.63999939,77.29000092
EAST,"40{a) DELHI EXCISE ACT, 2009",04-02-2019 02:54,28.60404015,77.37967682
EAST,"40(a) DELHI EXCISE ACT, 2009",03-02-2019 22:30,28.64469,77.34393
EAST,"40(a) DELHI EXCISE ACT, 2009",03-02-2019 22:30,28.74078,77.7689
NEW DELHI,"392/397/411 IPC 1860 25/27 ARMS ACT,1959",03-02-2019 23:59,29.09902,77.25640869
NEW DELHI,"392/397/411 IPC 1860 25/27 ARMS ACT, 1959",03-02-2019 23:58,28.63385,77.20026
NORTH,"25/54/59 ARMS ACT, 1959",04-02-2019 07:30,28.6763134,77.22497559
