Latitude,Longitude
28.69631,77.07207
28.6935997,77.30729675
28.73902,77.16691
28.60955048,77.13967133
28.60288,77.04906
28.52339,77.17729
28.47053,77.18028
28.64778,77.28845
28.66185,77.14082
28.61203,77.31411
28.64797,77.13647
28.64500046,77.24500275
28.60955048,77.13967133
28.61203,77.31411
28.6341095,77.21691132
28.60434,77.03442
28.60955048,77.13967133
28.69639969,77.12709808
28.50608,77.2537
28.51502,77.17847
28.6763134,77.22497559
28.64559,77.18951
28.60955048,77.13967133
28.60955048,77.13967133
28.63999939,77.29000092
28.68959045,77.27802277
28.71543,77.27835
28.61472,77.28919
28.66125,77.13972
28.70689,77.09873
28.75836945,77.28392792
28.6763134,77.22497559
28.6763134,77.22497559
28.63253,77.29885
28.74083,77.16318
28.63999939,77.29000092
28.6641,77.21793
28.60955048,77.13967133
28.7214,77.09627
28.55489922,77.19190216
28.65179,77.15147
28.70972,77.25171
28.72583771,77.14941406
28.69219,77.29747
28.65639,77.136
28.6935997,77.30729675
28.60955048,77.13967133
28.68345,77.26959
28.66559,77.29198
28.70773,77.28366
28.71163,77.27176
28.69631,77.07207
28.67132,77.06662
28.60955048,77.13967133
28.70754,77.17736
28.62499,77.28369
28.55489922,77.19190216
28.68959045,77.27802277
28.70535,77.31353
28.46231,77.1541
28.63999939,77.29000092
28.61692,77.31772
28.70122,77.08452
28.6763134,77.22497559
28.7252,77.21704
28.60955048,77.13967133
28.69968,77.10086
28.66754,77.31475
28.69077,77.27363
28.60955048,77.13967133
28.69629,77.31181
28.61203,77.31411
28.60955048,77.13967133
28.68742,77.09607
28.69219,77.28681
28.68253,76.91402
28.70535,77.31353
28.7064,77.28261
28.6935997,77.30729675
28.58485985,77.26355743
28.67122,77.28231
28.62547,77.31622
28.57314,77.16037
28.68956,77.09648
28.6228,77.2882
28.70664,77.26717
28.67278,77.25587
28.61888,77.31549
28.55489922,77.19190216
28.54071,77.13056
28.6935997,77.30729675
28.6935997,77.30729675
28.69631,77.07207
28.68956,77.09648
28.6763134,77.22497559
28.75929,77.18541
28.6935997,77.30729675
28.6935997,77.30729675
28.71027,77.25163
28.6763134,77.22497559
28.72583771,77.14941406
28.69631,77.07207
28.6341095,77.21691132
28.6341095,77.21691132
28.64615,77.22988
28.56375,77.2174
28.6877,77.26125
28.70271,77.31452
28.6763134,77.22497559
28.60955048,77.13967133
28.69081,77.12705
28.6935997,77.30729675
