Latitude,Longitude,Crime
28.69631,77.07207,Murder
28.6935997,77.30729675,Murder
28.73902,77.16691,Robbery
28.60955048,77.13967133,Robbery
28.60288,77.04906,Sexual Offense
28.52339,77.17729,Murder
28.47053,77.18028,Sexual Offense
28.64778,77.28845,Drugs
28.66185,77.14082,Robbery
28.61203,77.31411,Murder
28.64797,77.13647,Drugs
28.64500046,77.24500275,Sexual Offense
28.60955048,77.13967133,Robbery
28.61203,77.31411,Murder
28.6341095,77.21691132,Drugs
28.60434,77.03442,Sexual Offense
28.60955048,77.13967133,Sexual Offense
28.69639969,77.12709808,Murder
28.50608,77.2537,Sexual Offense
28.51502,77.17847,Sexual Offense
28.6763134,77.22497559,Robbery
28.64559,77.18951,Murder
28.60955048,77.13967133,Kidnapping
28.60955048,77.13967133,Murder
28.63999939,77.29000092,Murder
28.68959045,77.27802277,Drugs
28.71543,77.27835,Murder
28.61472,77.28919,Murder
28.66125,77.13972,Robbery
28.70689,77.09873,Sexual Offense
28.75836945,77.28392792,Kidnapping
28.6763134,77.22497559,Robbery
28.6763134,77.22497559,Robbery
28.63253,77.29885,Murder
28.74083,77.16318,Murder
28.63999939,77.29000092,Robbery
28.6641,77.21793,Drugs
28.60955048,77.13967133,Drugs
28.7214,77.09627,Kidnapping
28.55489922,77.19190216,Murder
28.65179,77.15147,Murder
28.70972,77.25171,Sexual Offense
28.72583771,77.14941406,Sexual Offense
28.69219,77.29747,Robbery
28.65639,77.136,Robbery
28.6935997,77.30729675,Kidnapping
28.60955048,77.13967133,Sexual Offense
28.68345,77.26959,Murder
28.66559,77.29198,Sexual Offense
28.70773,77.28366,Sexual Offense
28.71163,77.27176,Kidnapping
28.69631,77.07207,Murder
28.67132,77.06662,Murder
28.60955048,77.13967133,Robbery
28.70754,77.17736,Kidnapping
28.62499,77.28369,Drugs
28.55489922,77.19190216,Drugs
28.68959045,77.27802277,Kidnapping
28.70535,77.31353,Kidnapping
28.46231,77.1541,Sexual Offense
28.63999939,77.29000092,Kidnapping
28.61692,77.31772,Murder
28.70122,77.08452,Kidnapping
28.6763134,77.22497559,Robbery
28.7252,77.21704,Robbery
28.60955048,77.13967133,Kidnapping
28.69968,77.10086,Robbery
28.66754,77.31475,Robbery
28.69077,77.27363,Sexual Offense
28.60955048,77.13967133,Sexual Offense
28.69629,77.31181,Robbery
28.61203,77.31411,Murder
28.60955048,77.13967133,Robbery
28.68742,77.09607,Kidnapping
28.69219,77.28681,Sexual Offense
28.68253,76.91402,Murder
28.70535,77.31353,Kidnapping
28.7064,77.28261,Robbery
28.6935997,77.30729675,Kidnapping
28.58485985,77.26355743,Robbery
28.67122,77.28231,Drugs
28.62547,77.31622,Kidnapping
28.57314,77.16037,Sexual Offense
28.68956,77.09648,Sexual Offense
28.6228,77.2882,Kidnapping
28.70664,77.26717,Sexual Offense
28.67278,77.25587,Murder
28.61888,77.31549,Robbery
28.55489922,77.19190216,Kidnapping
28.54071,77.13056,Kidnapping
28.6935997,77.30729675,Sexual Offense
28.6935997,77.30729675,Kidnapping
28.69631,77.07207,Murder
28.68956,77.09648,Drugs
28.6763134,77.22497559,Murder
28.75929,77.18541,Kidnapping
28.6935997,77.30729675,Robbery
28.6935997,77.30729675,Murder
28.71027,77.25163,Sexual Offense
28.6763134,77.22497559,Robbery
28.72583771,77.14941406,Murder
28.69631,77.07207,Murder
28.6341095,77.21691132,Murder
28.6341095,77.21691132,Drugs
28.64615,77.22988,Robbery
28.56375,77.2174,Kidnapping
28.6877,77.26125,Robbery
28.70271,77.31452,Sexual Offense
28.6763134,77.22497559,Robbery
28.60955048,77.13967133,Sexual Offense
28.69081,77.12705,Sexual Offense
28.6935997,77.30729675,Drugs
